sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
795	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3045	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7638284375825554
796	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3046	O1	Homogenous	H2	Heterogenous	among geodiversity	0.679014648335349
797	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3047	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6593730239375896
798	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3049	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7112157172973879
799	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3055	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6186870041244313
800	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3056	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6681769021366255
801	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3057	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6922779560760383
802	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3058	O1	Homogenous	H3	Heterogenous	among geodiversity	0.7307872576279344
803	unweighted	ITS1	Intershrub	ITS-AS3008	ITS-AS3059	O1	Homogenous	H3	Heterogenous	among geodiversity	0.789650493665206
804	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3015	O1	Homogenous	O2	Homogenous	within Homogenous	0.6189513173098586
805	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3016	O1	Homogenous	O2	Homogenous	within Homogenous	0.5976088668925298
806	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3017	O1	Homogenous	O2	Homogenous	within Homogenous	0.6220610242847107
807	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3018	O1	Homogenous	O2	Homogenous	within Homogenous	0.6840674233371111
808	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3019	O1	Homogenous	O2	Homogenous	within Homogenous	0.6223669056261399
